indicator_name,Brunei Darussalam,Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam,United States,China,India,Japan,South Korea
Ease Of Doing Business Score (0 = Lowest Performance To 100 = Best Performance),69.63482,53.7971,68.184,49.77807,81.33541,43.4838,60.87374,85.84348,79.51709,68.56869,83.57395,73.95071,67.49639,78.04159,83.96046
Final Consumption Expenditure (Constant 2010 Us$),5955777262,15519991990,7.2635E+11,9684796574,2.60342E+11,55550756400,2.6337E+11,1.46438E+11,2.90038E+11,1.39032E+11,1.48575E+13,5.54216E+12,1.9139E+12,4.65666E+12,8.71589E+11
Gini Index (World Bank Estimate),,37.9,39,36.4,41,30.7,44.4,45.9,36.4,35.7,45,38.5,37.8,32.9,31.6
High-Technology Exports (Current Us$),115051,164816025,6389604745,467981186,90395903009,312054589,33903553364,1.55447E+11,44795081987,82613421026,1.56366E+11,7.31891E+11,20273090235,1.1102E+11,1.9279E+11
"Hospital Beds (Per 1,000 People)",2.7,0.8,1.2,1.5,1.9,0.9,1,2.4,2.1,2.6,2.9,4.2,0.7,13.4,11.5
"International Tourism, Expenditures (Current Us$)",585000000,1079000000,11629000000,949000000,13248000000,118000000,12474000000,25346000000,14675000000,5910000000,1.86508E+11,2.77345E+11,25790000000,28096000000,34769000000
"International Tourism, Expenditures For Passenger Transport Items (Current Us$)",,217000000,2857000000,23000000,1080000000,29000000,611000000,,2323000000,,42043000000,2211000000,4471000000,7899000000,2796000000
"International Tourism, Expenditures For Travel Items (Current Us$)",585000000,862000000,8772000000,926000000,12168000000,89000000,11863000000,25346000000,12352000000,,1.44465E+11,2.77345E+11,21319000000,20197000000,31973000000
"International Tourism, Number Of Arrivals",278000,6201000,15810000,3770000,25832000,3551000,7168000,14673000,38178000,15498000,79745920,62900000,17423000,31192000,15347000
"International Tourism, Number Of Departures",,1995000,9468000,3207000,,,5703000,9889000,9966000,,92564000,149720000,26296000,18954000,28696000
"International Tourism, Receipts (Current Us$)",190000000,4832000000,15600000000,757000000,21774000000,1670000000,9730000000,20416000000,65242000000,10080000000,2.56145E+11,40386000000,29143000000,45276000000,19856000000
"Life Expectancy At Birth, Female (Years)",76.96,71.629,73.748,69.417,78.167,69.874,75.387,85.4,80.704,79.442,81.1,79.051,70.692,87.32,85.7
"Life Expectancy At Birth, Male (Years)",74.593,67.312,69.375,65.838,74.075,63.761,67.123,81,73.228,71.207,76.1,74.549,68.239,81.25,79.7
"Life Expectancy At Birth, Total (Years)",75.722,69.57,71.509,67.61,75.997,66.867,71.095,83.14634146,76.931,75.317,78.53902439,76.704,69.416,84.21097561,82.62682927
"Listed Domestic Companies, Total",,,619,,902,,264,482,704,749,4397,3584,5065,3652,2186
Logistics Performance Index: Competence And Quality Of Logistics Services (1=Low To 5=High),2.71,2.41,3.1,2.65,3.3,2.28,2.78,4.1,3.41,3.4,3.87,3.59,3.13,4.09,3.59
Logistics Performance Index: Efficiency Of Customs Clearance Process (1=Low To 5=High),2.62,2.37,2.67,2.61,2.9,2.17,2.53,3.89,3.14,2.95,3.78,3.29,2.96,3.99,3.4
Market Capitalization Of Listed Domestic Companies (Current Us$),,,4.86766E+11,,3.98019E+11,,2.58156E+11,6.87257E+11,5.00741E+11,1.32653E+11,3.04363E+13,6.32488E+12,2.08348E+12,5.29681E+12,1.41372E+12
Merchandise Exports (Current Us$),6574000000,12700000000,1.80215E+11,5295000000,2.47455E+11,16672000000,69307000000,4.12955E+11,2.52957E+11,2.43699E+11,1.66398E+12,2.4867E+12,3.24778E+11,7.38143E+11,6.0486E+11
"Physicians (Per 1,000 People)",1.609,,0.4269,0.3726,1.5358,0.677,0.6004,2.2936,0.805,0.8281,2.612,1.9798,0.8571,2.4115,2.3608
"Population, Female",206057,8319569,132878520,3515879,15316120,27825190,53050434,2687287,35595105,47862308,165042573,677972245,649574719,64731350,25760422
"Population, Male",222905,7930229,134784915,3545628,16212465,25883205,53601488,2951389,33833419,47678087,161644928,714757755,703042609,61797750,25846211
"Population, Total",428962,16249798,267663435,7061507,31528585,53708395,106651922,5638676,69428524,95540395,326687501,1392730000,1352617328,126529100,51606633
"Portfolio Equity, Net Inflows (Bop, Current Us$)",0,0,-3668291225,1805012.427,-1143301101,0,-1031400031,-3653801719,-7101366725,134000000,1.42397E+11,60667928466,-4361005877,-41678881716,-6302200000
Researchers In R&D (Per Million People),295,30.36704,215.99355,,2396.53998,29.07319,105.68078,6635.55532,1350.34325,707.74357,4245.26965,1224.7822,252.70392,5304.13762,7497.59608
Rural Land Area (Sq. Km),4743.62207,176298.1875,1838682.625,227855.5313,312833.0313,657996.3125,282759.125,103.5980911,474183.4375,318130.0938,8549545.51,8868577,2980489.25,260649.5938,77155.28906
Rural Population,95963,12449295,119578640,4589697,7555510,37284905,56624705,0,34749671,61223241,57967430,568902350,892321651,10608200,9568386
Secure Internet Servers,853,1318,343412,144,180124,494,9903,477674,66225,169056,21517004,622142,254032,1476696,106574
Secure Internet Servers (Per 1 Million People),1988.521128,81.10870055,1282.999301,20.39224772,5713.037867,9.197817213,92.85346025,84713.85836,953.8586763,1769.471437,65864.17887,446.7068276,187.8077374,11670.80142,2065.122133
"Services, Value Added (Current Us$)",4954454868,8790215808,4.43061E+11,6998717600,1.60277E+11,29241603213,1.8781E+11,2.28146E+11,2.56343E+11,84008613303,1.43449E+13,6.31816E+12,1.27097E+12,3.404E+12,8.08922E+11
"Stocks Traded, Total Value (Current Us$)",,,1.04652E+11,,1.35335E+11,,29213839415,2.19525E+11,3.86543E+11,52803727658,3.30272E+13,1.30706E+13,1.2595E+12,6.30409E+12,2.45574E+12
"Suicide Mortality Rate (Per 100,000 Population)",4.6,5.3,3.4,8.6,5.5,7.8,3.2,9.9,14.4,7.3,15.3,9.7,16.3,18.5,26.9
"Suicide Mortality Rate, Female (Per 100,000 Female Population)",2.7,2.9,2,5.7,3.2,9.5,2,6.1,5.9,3.7,7.2,10.3,14.7,11.4,15.4
"Suicide Mortality Rate, Male (Per 100,000 Male Population)",6.4,7.8,4.8,11.4,7.8,5.9,4.3,13.8,23.4,10.9,23.6,9.1,17.8,26,38.4
Technicians In R&D (Per Million People),,60.88483,17.48575,,263.25211,18.69526,27.96123,450.68559,319.77065,71.49,,,95.54919,520.66338,1251.10685
Time Required To Start A Business (Days),5.5,99,21,174,13.5,14,34,1.5,6,17,5.6,8.5,16.5,11.1,8
"Time To Export, Border Compliance (Hours)",117,48,62.6,9,28,141.7,42.5,10,44,55,1.5,25.9,66.2,22.6,13.4
"Time To Export, Documentary Compliance (Hours)",155,132,61.3,60,10,144,36,2,11.3,50,1.5,8.6,14.5,2.4,1
"Trademark Applications, Direct Nonresident",1833,5944,18123,3041,23793,4068,13611,19627,25956,16922,122636,107353,26220,38388,28935
"Trademark Applications, Direct Resident",141,2322,56583,249,19863,4422,21625,6305,28141,37476,342150,1997058,297750,145269,170541
"Trademark Applications, Resident, By Count",189,2416,58659,249,19863,4422,30853,11496,32826,60731,445872,7127191,297751,438338,207953
"Trademark Applications, Total",1974,8266,74706,3290,43656,8490,35236,25932,54097,54398,464786,2104411,323970,183657,199476
Urban Population,332999,3800503,148084795,2471810,23973075,16423490,50027217,5638676,34678853,34317154,268720071,823827650,460295677,115920900,42038247
