Country Code,Country Name,indicator_name,2010,2011,2012,2013,2014,2015,2016,2017
VNM,Vietnam,Land area (sq. km),310070,310070,310070,310070,310070,310070,310070,310070
THA,Thailand,Land area (sq. km),510890,510890,510890,510890,510890,510890,510890,510890
KHM,Cambodia,Land area (sq. km),176520,176520,176520,176520,176520,176520,176520,176520
SGP,Singapore,Land area (sq. km),702,704,706,707,709,709,709,709
PHL,Philippines,Land area (sq. km),298170,298170,298170,298170,298170,298170,298170,298170
MYS,Malaysia,Land area (sq. km),328550,328550,328550,328550,328550,328550,328550,328550
LAO,Lao PDR,Land area (sq. km),230800,230800,230800,230800,230800,230800,230800,230800
IDN,Indonesia,Land area (sq. km),1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570
BRN,Brunei Darussalam,Land area (sq. km),5270,5270,5270,5270,5270,5270,5270,5270
VNM,Vietnam,"Population, total",88472512,89436644,90451881,91497725,92544915,93571567,94569072,95540800
THA,Thailand,"Population, total",67208808,67530130,67843979,68143065,68416772,68657600,68863514,69037513
KHM,Cambodia,"Population, total",14308740,14537886,14776866,15022692,15270790,15517635,15762370,16005373
SGP,Singapore,"Population, total",5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253
PHL,Philippines,"Population, total",93726624,95277940,96866642,98481032,100102249,101716359,103320222,104918090
MYS,Malaysia,"Population, total",28112289,28635128,29170456,29706724,30228017,30723155,31187265,31624264
LAO,Lao PDR,"Population, total",6246274,6333487,6415169,6494557,6576397,6663967,6758353,6858160
IDN,Indonesia,"Population, total",242524123,245707511,248883232,252032263,255131116,258162113,261115456,263991379
BRN,Brunei Darussalam,"Population, total",388662,394013,399748,405716,411704,417542,423196,428697
VNM,Vietnam,"Population, male (% of total)",49.37,49.4,49.42,49.44,49.45,49.46,49.48,49.49
THA,Thailand,"Population, male (% of total)",49.01,48.97,48.94,48.9,48.86,48.83,48.8,48.76
SGP,Singapore,"Population, male (% of total)",49.34,49.33,49.34,49.36,49.37,49.39,49.4,49.41
KHM,Cambodia,"Population, male (% of total)",48.71,48.74,48.75,48.76,48.77,48.77,48.78,48.79
PHL,Philippines,"Population, male (% of total)",50.48,50.48,50.46,50.43,50.4,50.37,50.35,50.33
MYS,Malaysia,"Population, male (% of total)",51.54,51.58,51.63,51.66,51.68,51.68,51.66,51.62
LAO,Lao PDR,"Population, male (% of total)",49.75,49.77,49.79,49.81,49.83,49.84,49.86,49.88
IDN,Indonesia,"Population, male (% of total)",50.42,50.43,50.42,50.41,50.39,50.37,50.36,50.34
BRN,Brunei Darussalam,"Population, male (% of total)",51.63,51.65,51.64,51.6,51.55,51.52,51.49,51.47
VNM,Vietnam,"Population, female (% of total)",50.63,50.6,50.58,50.56,50.55,50.54,50.52,50.51
THA,Thailand,"Population, female (% of total)",50.99,51.03,51.06,51.1,51.14,51.17,51.2,51.24
SGP,Singapore,"Population, female (% of total)",50.66,50.67,50.66,50.64,50.63,50.61,50.6,50.59
