Indicator Name,Indicator Code,Year,BRN,KHM,IDN,LAO,MYS,MMR,PHL,SGP,THA,VNM,USA,CHN,IND,JPN,KOR
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1995,4.47870734,9.903468901,8.220007399,7.031254328,9.829085181,6.948051437,4.678692219,7.200979804,8.120261844,9.540480175,2.684287132,10.94922737,7.57449184,2.742140322,9.570604132
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1996,2.878317747,5.89750561,7.818187077,6.928323725,10.0027007,6.442715347,5.845873472,7.471310739,5.652373942,9.340017496,3.772501319,9.928372463,7.549522249,3.099999291,7.594509089
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1997,-1.471171572,4.006621073,4.699878854,6.872091273,7.322741842,5.651582963,5.185362276,8.319821633,-2.753590578,8.152084143,4.447216343,9.230769231,4.049820849,1.076045234,5.922185464
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1998,-0.558508851,4.681632108,-13.12672549,3.967608091,-7.359415193,5.866213153,-0.576718146,-2.195327794,-7.633733631,5.764455464,4.481407555,7.837613919,6.184415821,-1.128409829,-5.471219258
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1999,3.052157142,12.70538113,0.791126082,7.306376073,6.137612015,10.94512998,3.081916458,5.72400277,4.572298369,4.773586881,4.753235989,7.667486171,8.845755561,-0.251954272,11.30862149
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,2.849421858,10.7119948,4.920067747,5.798782326,8.858868177,13.74593056,4.41122216,9.03919574,4.455676031,6.787316408,4.127484014,8.491508492,3.840991157,2.779632825,8.924426034
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,2.744040518,7.446606976,3.643466447,5.751412882,0.517675319,11.34399707,2.893987062,-1.069106008,3.444243766,6.192893312,0.998340795,8.33991055,4.823966264,0.406335903,4.525306764
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2002,3.872096967,6.578939503,4.499475391,5.918743682,5.390988299,12.02551343,3.645903318,3.91467511,6.148879817,6.320820988,1.74169525,9.130645945,3.803975321,0.117992777,7.432433614
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,2.903955477,8.505895557,4.780369122,6.067002304,5.788499284,13.84399689,4.970368696,4.535806779,7.189329965,6.899063492,2.861210767,10.03560303,7.860381476,1.528220148,2.933217902
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2004,0.504318253,10.34052878,5.030873945,6.35769548,6.783437734,13.56466162,6.697623613,9.819526862,6.289288549,7.536410612,3.798891127,10.11122346,7.922936613,2.204687882,4.89984045
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2005,0.387507208,13.25008691,5.692571304,7.107568369,5.332139149,13.56895002,4.77766782,7.35903621,4.187834924,7.547247727,3.513213797,11.39577594,7.923430621,1.662670405,3.923677392
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2006,4.397719678,10.77108367,5.500951785,8.619266209,5.584847072,13.07610138,5.242960356,9.005188001,4.967916824,6.977954812,2.854972292,12.71947902,8.060732573,1.420006556,5.176153818
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2007,0.154581812,10.21257391,6.345022227,7.596828801,6.29878593,11.99143524,6.616662284,9.022116566,5.43509257,7.129504484,1.876171458,14.23138804,7.660815065,1.654183881,5.463396393
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2008,-1.939714638,6.691577475,6.0137036,7.824902763,4.831769887,10.25530539,4.152756843,1.868212395,1.725667908,5.661771208,-0.136579805,9.654289373,3.08669806,-1.0935406,2.829223173
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2009,-1.764535541,0.086696959,4.628871183,7.501774913,-1.513528719,10.5500091,1.14833222,0.12100381,-0.690733346,5.397897543,-2.536757066,9.399813171,7.861888833,-5.416412797,0.707509946
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2010,2.598965746,5.963078575,6.223854181,8.526905517,7.424847386,9.634439452,7.63226478,14.52564666,7.513590658,6.423238217,2.563766559,10.63614046,8.497584702,4.191739259,6.496793586
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2011,3.745318352,7.069569946,6.169784208,8.038652681,5.29391284,5.591482378,3.659751601,6.262267762,0.839959472,6.240302749,1.550835506,9.55091409,5.241344743,-0.11542134,3.681688569
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2012,0.912841671,7.313345505,6.030050653,8.026098434,5.473454192,7.332670447,6.683818881,4.449315805,7.242786605,5.247367156,2.249545852,7.859627493,5.456358951,1.495089586,2.292397846
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2013,-2.126028517,7.356665149,5.557263689,8.026300226,4.69372252,8.426001025,7.064024264,4.815045038,2.687379919,5.421882991,1.842081071,7.768615284,6.386106401,2.000267841,2.896204935
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,-2.34974675,7.142571101,5.006668426,7.611963441,6.00672195,7.990915597,6.145298786,3.900573228,0.984414064,5.983654637,2.451973035,7.299518921,7.410227605,0.374719476,3.341447761
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,-0.566814609,7.036087179,4.8763223,7.270065843,5.091515721,6.99284029,6.066548905,2.892499228,3.133896962,6.679288789,2.880910466,6.90531667,7.996253786,1.222921041,2.790236167
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2016,-2.465514923,7.030966776,5.033069183,7.022836255,4.449755765,5.862472915,6.884055037,2.962327259,3.356488872,6.210811668,1.56721517,6.736675253,8.169526505,0.609093181,2.929304795
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2017,1.328602552,7.01503011,5.067406366,6.892530873,5.741829576,6.758628824,6.677553566,3.699781577,4.024085781,6.81224566,2.21701033,6.757007611,7.167888861,1.928757251,3.062768462
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2018,0.052237791,7.497963508,5.171270328,6.247960008,4.74160645,6.200051072,6.243737742,3.139464543,4.129226103,7.075788617,2.927322728,6.56697386,6.811369326,0.788455876,2.668311402
