indicator_name,Brunei Darussalam,Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam
Ease Of Doing Business Score (0 = Lowest Performance To 100 = Best Performance),69.63,53.8,68.18,49.78,81.34,43.48,60.87,85.84,79.52,68.57
Final Consumption Expenditure (Constant 2010 Us$),5955777262,15519991990,7.26E+11,9684796574,2.60E+11,55550756400,2.63E+11,1.46E+11,2.90E+11,1.39E+11
"Foreign Direct Investment, Net Inflows (Bop, Current Us$)",511497137.8,3212633447,18909826044,1319609797,8570094243,1291196201,9832332891,91035666405,13205107281,15500000000
"Foreign Direct Investment, Net Outflows (Bop, Current Us$)",,123963610.3,6399215529,10000,5716347625,0,3948340683,29761091307,21248524773,598000000
GDP (Current Us$),13567351175,24542474061,1.04E+12,17953786416,3.59E+11,71214803378,3.31E+11,3.64E+11,5.05E+11,2.45E+11
Gini Index (World Bank Estimate),,37.9,39,36.4,41,30.7,44.4,45.9,36.4,35.7
High-Technology Exports (Current Us$),115051,164816025,6389604745,467981186,90395903009,312054589,33903553364,1.55E+11,44795081987,82613421026
"Hospital Beds (Per 1,000 People)",2.7,0.8,1.2,1.5,1.9,0.9,1,2.4,2.1,2.6
"International Tourism, Expenditures (Current Us$)",585000000,1079000000,11629000000,949000000,13248000000,118000000,12474000000,25346000000,14675000000,5910000000
"International Tourism, Expenditures For Passenger Transport Items (Current Us$)",,217000000,2857000000,23000000,1080000000,29000000,611000000,,2323000000,
"International Tourism, Expenditures For Travel Items (Current Us$)",585000000,862000000,8772000000,926000000,12168000000,89000000,11863000000,25346000000,12352000000,
"International Tourism, Number Of Arrivals",278000,6201000,15810000,3770000,25832000,3551000,7168000,14673000,38178000,15498000
"International Tourism, Number Of Departures",,1995000,9468000,3207000,,,5703000,9889000,9966000,
"International Tourism, Receipts (Current Us$)",190000000,4832000000,15600000000,757000000,21774000000,1670000000,9730000000,20416000000,65242000000,10080000000
"Life Expectancy At Birth, Female (Years)",76.96,71.63,73.75,69.42,78.17,69.87,75.39,85.4,80.7,79.44
"Life Expectancy At Birth, Male (Years)",74.59,67.31,69.38,65.84,74.08,63.76,67.12,81,73.23,71.21
"Life Expectancy At Birth, Total (Years)",75.72,69.57,71.51,67.61,76,66.87,71.1,83.15,76.93,75.32
"Listed Domestic Companies, Total",,,619,,902,,264,482,704,749
Logistics Performance Index: Competence And Quality Of Logistics Services (1=Low To 5=High),2.71,2.41,3.1,2.65,3.3,2.28,2.78,4.1,3.41,3.4
Logistics Performance Index: Efficiency Of Customs Clearance Process (1=Low To 5=High),2.62,2.37,2.67,2.61,2.9,2.17,2.53,3.89,3.14,2.95
Market Capitalization Of Listed Domestic Companies (Current Us$),,,4.87E+11,,3.98E+11,,2.58E+11,6.87E+11,5.01E+11,1.33E+11
Merchandise Exports (Current Us$),6574000000,12700000000,1.80E+11,5295000000,2.47E+11,16672000000,69307000000,4.13E+11,2.53E+11,2.44E+11
"Physicians (Per 1,000 People)",1.61,,0.43,0.37,1.54,0.68,0.6,2.29,0.81,0.83
"Population, Female",206057,8319569,132878520,3515879,15316120,27825190,53050434,2687287,35595105,47862308
"Population, Male",222905,7930229,134784915,3545628,16212465,25883205,53601488,2951389,33833419,47678087
"Population, Total",428962,16249798,267663435,7061507,31528585,53708395,106651922,5638676,69428524,95540395
"Portfolio Equity, Net Inflows (Bop, Current Us$)",0,0,-3668291225,1805012.43,-1143301101,0,-1031400031,-3653801719,-7101366725,134000000
Researchers In R&D (Per Million People),295,30.37,215.99,,2396.54,29.07,105.68,6635.56,1350.34,707.74
Rural Land Area (Sq. Km),4743.62207,176298.1875,1838682.625,227855.5313,312833.0313,657996.3125,282759.125,103.5980911,474183.4375,318130.0938
Rural Population,95963,12449295,119578640,4589697,7555510,37284905,56624705,0,34749671,61223241
Secure Internet Servers,853,1318,343412,144,180124,494,9903,477674,66225,169056
Secure Internet Servers (Per 1 Million People),1988.52,81.11,1283,20.39,5713.04,9.2,92.85,84713.86,953.86,1769.47
"Services, Value Added (Current Us$)",4954454868,8790215808,4.43E+11,6998717600,1.60E+11,29241603213,1.88E+11,2.28E+11,2.56E+11,84008613303
"Stocks Traded, Total Value (Current Us$)",,,1.05E+11,,1.35E+11,,29213839415,2.20E+11,3.87E+11,52803727658
"Suicide Mortality Rate (Per 100,000 Population)",4.6,5.3,3.4,8.6,5.5,7.8,3.2,9.9,14.4,7.3
"Suicide Mortality Rate, Female (Per 100,000 Female Population)",2.7,2.9,2,5.7,3.2,9.5,2,6.1,5.9,3.7
"Suicide Mortality Rate, Male (Per 100,000 Male Population)",6.4,7.8,4.8,11.4,7.8,5.9,4.3,13.8,23.4,10.9
Technicians In R&D (Per Million People),,60.88,17.49,,263.25,18.7,27.96,450.69,319.77,71.49
Time Required To Start A Business (Days),5.5,99,21,174,13.5,14,34,1.5,6,17
"Time To Export, Border Compliance (Hours)",117,48,62.6,9,28,141.7,42.5,10,44,55
"Time To Export, Documentary Compliance (Hours)",155,132,61.3,60,10,144,36,2,11.3,50
"Trademark Applications, Direct Nonresident",1833,5944,18123,3041,23793,4068,13611,19627,25956,16922
"Trademark Applications, Direct Resident",141,2322,56583,249,19863,4422,21625,6305,28141,37476
"Trademark Applications, Resident, By Count",189,2416,58659,249,19863,4422,30853,11496,32826,60731
"Trademark Applications, Total",1974,8266,74706,3290,43656,8490,35236,25932,54097,54398
Urban Population,332999,3800503,148084795,2471810,23973075,16423490,50027217,5638676,34678853,34317154
