indicator_name,indicator_code,country_name,country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Brunei Darussalam,BRN,2.543247677,2.541938983,2.529896982,2.597885579,2.54796275,2.229675837,1.93293282,1.94695383,1.869585551,2.39366138,2.27826173,1.86497267,1.85972138,1.89831459,1.91436811,2.3878996,2.548286878,2.37327733,2.37327733
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Cambodia,KHM,6.54954113,7.11174411,7.234725356,6.9494294,7.9345115,6.852789968,6.1183651,4.92112484,6.619379,7.58335985,6.911698729,7.53531873,7.26115456,7.13867829,6.71577455,6.194315851,6.116484478,5.91884189,5.91884189
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,China,CHN,4.47341517,4.2235832,4.348249361,4.38323738,4.25689593,4.14221513,3.91879978,3.658684716,3.8772278,4.321824387,4.27991436,4.325513169,4.54939918,4.712236,4.773227125,4.88872346,4.98188635,5.151193216,5.151193216
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,India,IND,4.3493233,4.262781143,4.24166768,4.8479789,3.957392275,3.791162372,3.63477838,3.517541662,3.51468639,3.485378623,3.272119164,3.24634218,3.32935334,3.749441728,3.619565442,3.595659882,3.51983288,3.534959629,3.534959629
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Indonesia,IDN,1.9931496,2.174175158,2.3347937,2.31337384,2.172131464,2.5849456,2.67221836,2.87617725,2.613758,2.684943378,2.96899845,2.95542315,2.92866714,2.9665623,3.11712111,3.11822514,3.1195489,2.98954471,2.98954471
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Japan,JPN,7.159133,7.359197736,7.473364472,7.6112773,7.657194138,7.78668885,7.87842642,7.894664,8.199514449,9.5829668,9.156773239,1.61671749,1.7965353,1.79159379,1.832497,1.8855687,1.82552895,1.93593314,1.93593314
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Lao PDR,LAO,4.275137186,4.29316999,3.697511926,4.47927844,3.54572897,3.336732462,2.9329473,3.15345563,2.76727339,3.4633784,2.911552414,1.94457586,2.76375857,2.399849892,2.298455499,2.45366454,2.36874787,2.52886863,2.52886863
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Malaysia,MYS,2.56484442,2.72831656,2.724182233,2.98331878,2.917645499,2.844622545,3.171842545,3.12164221,3.8152461,3.32245715,3.228724748,3.38865633,3.54644917,3.571852669,3.77328776,3.89494256,3.79941836,3.859398142,3.859398142
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Myanmar,MMR,1.84299493,1.836426929,2.9152726,2.4643391,2.131642215,2.14162578,1.93517591,1.73219698,1.938597858,2.4674479,1.82543373,1.7841789,2.32593596,3.48278764,4.1494911,5.197115242,4.767122865,4.6597231,4.6597231
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Philippines,PHL,3.154817596,2.94758529,2.73331185,3.19143869,3.1679225,3.9418431,3.945848718,3.91954228,4.27924314,4.353533313,4.312762618,4.2693773,4.374652356,4.463811219,4.127411544,4.321368784,4.46967387,4.4464778,4.4464778
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Singapore,SGP,3.351741657,3.18158913,3.3825133,3.6394244,3.17355561,3.42963147,2.951292694,2.852637693,3.217931464,3.429339454,3.248543665,3.189135343,3.367587924,3.714843839,3.89136793,4.245935,4.42238152,4.44382868,4.44382868
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,South Korea,KOR,3.998532519,4.575431347,4.315283895,4.596621916,4.58429941,4.83743269,5.18264264,5.376113951,5.675645173,6.924859,6.221941113,6.294254214,6.437445432,6.5788388,6.821474433,7.4555926,7.3251227,7.63863627,7.63863627
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Thailand,THA,3.1125351,3.26232123,3.3347234,3.243127838,3.138936311,3.159722313,3.997995,3.192771971,3.459339589,3.619439,3.3997991,3.568261117,3.52294725,3.453133255,3.68448861,3.6678946,3.7633267,3.74616324,3.74616324
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,United States,USA,12.5252426,13.1694933,13.9553283,14.45544511,14.53713328,14.54213858,14.6588316,14.8993331,15.29529393,16.3441173,16.41195267,16.37629271,16.37153327,16.3475177,16.53166264,16.83988124,17.1972626,17.6126928,17.6126928
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Vietnam,VNM,4.849269614,5.72816573,4.57587352,4.65548624,4.823932797,5.9655582,5.391996726,5.462799594,5.14778478,5.29355187,5.966772139,5.87397553,6.2784989,6.335599,5.783177167,5.65262116,5.659193546,5.532128364,5.532128364
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Brunei Darussalam,BRN,2.14618116,2.11472176,2.114726976,2.15491139,2.116395533,1.865481399,1.623727567,1.692577451,1.6863437,2.165739238,2.945996,1.76173457,1.68712533,1.719731465,1.773956791,2.268365398,2.421386912,2.2535641,2.2535641
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Cambodia,KHM,1.29265232,1.184939872,1.396731474,1.481688395,1.37288428,1.22695581,0.959914457,0.971993897,1.243126,1.217385847,1.362832356,1.279871352,1.467351,1.41955819,1.23977248,1.344651449,1.33381458,1.48793498,1.48793498
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,China,CHN,0.9834592,0.96724943,1.13839371,1.242861524,1.287455857,1.356895827,1.3773741,1.427841745,1.726234518,2.13498363,2.184296,2.323755994,2.535619214,2.6878158,2.78833979,2.94282845,2.89454443,2.919353731,2.919353731
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,India,IND,0.834429823,0.84681424,0.772197,0.75243291,0.711634615,0.76336869,0.745353382,0.73512741,0.795278978,0.892612617,0.8575185,0.937319174,0.93186869,0.8654193,0.85653559,0.921931863,0.942292158,0.95915697,0.95915697
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Indonesia,IDN,0.547827641,0.77151116,0.674224878,0.817848649,0.74926296,0.73213744,0.83842834,1.186987,0.89791242,0.921643153,0.76151113,0.838337,0.871969759,0.92639663,1.76253131,1.2139376,1.398181822,1.4459928,1.4459928
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Japan,JPN,5.75151743,5.95836789,6.34964323,6.8648111,6.146751717,6.31541137,6.271378696,6.41942972,6.655596942,7.36386855,7.51892,8.895588,9.56669474,9.9395362,9.111688286,9.152859449,9.97472578,9.1963155,9.1963155
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Lao PDR,LAO,1.23366,1.329566818,1.18754672,1.96252166,0.794255268,0.9671815,0.642215926,0.57348836,0.513325352,1.146639418,0.6363675,0.366938999,0.43671719,0.712662656,0.683733216,0.86391374,0.76494849,0.888554286,0.888554286
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Malaysia,MYS,1.197646,1.3824926,1.39637934,1.55461659,1.49282853,1.39654763,1.77638986,1.6539991,1.64116621,1.841876656,1.754367,1.794618741,1.93742366,1.923752762,2.6739664,2.67884989,1.917624846,1.95242548,1.95242548
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Myanmar,MMR,0.2425161,0.26949376,0.2985847,0.28856771,0.231933757,0.14685755,0.23129537,0.173961197,0.157142768,0.17728761,0.17959848,0.213361741,0.399576686,0.57533766,1.3532764,1.14297752,0.669443887,0.68984814,0.68984814
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Philippines,PHL,1.468543,1.196553558,1.124814,1.155797485,1.131682191,1.29996559,1.26627516,1.22747165,1.213941351,1.3343432,1.37587588,1.196287,1.149958372,1.17182787,1.138783712,1.36683516,1.39755961,1.418869756,1.418869756
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Singapore,SGP,1.21778512,0.88739769,1.5896676,1.34616143,1.3256134,1.3758144,1.19556,0.95538996,1.24972,1.196156815,1.165571157,1.18373643,1.323493943,1.549153123,1.752566919,1.97937788,2.93729749,2.14458114,2.14458114
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,South Korea,KOR,2.1236376,2.544465661,2.42386164,2.5587841,2.581481822,2.74228625,3.3652352,3.149159625,3.22972986,3.581755981,3.67816496,3.667297214,3.697319329,3.79411282,3.93619945,4.38258642,4.2172247,4.3629928,4.3629928
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Thailand,THA,1.71153425,1.66487326,2.76368779,2.455691,2.12559399,2.1361941,2.23311185,2.41454424,2.6726366,2.646821737,2.596231,2.72773617,2.6824199,2.622749843,2.78856651,2.74875633,2.85838329,2.851752937,2.851752937
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,United States,USA,5.524876341,5.94635683,6.2988647,6.492591649,6.576983631,6.599859893,6.788922846,6.9194473,7.24865788,7.89375632,7.96513385,7.948321849,7.927314192,7.986786962,8.285448,8.55196124,8.618223667,8.557614684,8.557614684
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Vietnam,VNM,1.692295633,1.517467853,1.6678514,1.532275416,1.72431,1.87179856,1.9426682,1.929182559,1.939494535,1.918836311,2.36388916,2.27284962,2.63144572,2.9844752,2.4265219,2.363326773,2.68424768,2.689879574,2.689879574
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,Brunei Darussalam,BRN,67.35433192,69.5253593,67.1218329,69.28925184,68.7994697,7.16844716,71.72469796,67.8527577,78.29923669,72.78317629,67.4137988,69.567218,7.15922363,68.4187464,68.71895714,52.2159737,49.5769627,49.5732417,51.93227638
Exports Of Goods And Services (% Of GDP),NE.EXP.GNFS.ZS,Cambodia,KHM,49.5227815,52.54124718,55.42213314,56.524735,63.658951,64.847726,68.59324512,65.3259685,65.543257,49.227635,54.8278279,54.875591,57.88976453,62.3879358,62.6347417,61.71842376,61.28152493,6.68195781,61.59572751
