indicator_name
Current health expenditure (% of GDP)
Domestic general government health expenditure (% of GDP)
Exports of goods and services (% of GDP)
Exports of goods and services (annual % growth)
Final consumption expenditure (% of GDP)
Final consumption expenditure (constant 21 US$)
"Foreign direct investment, net inflows (% of GDP)"
"Foreign direct investment, net outflows (% of GDP)"
High-technology exports (current US$)
Imports of goods and services (% of GDP)
"International tourism, expenditures (% of total imports)"
"International tourism, expenditures (current US$)"
"International tourism, expenditures for passenger transport items (current US$)"
"International tourism, expenditures for travel items (current US$)"
"International tourism, number of arrivals"
"International tourism, number of departures"
"International tourism, receipts (current US$)"
"Life expectancy at birth, female (years)"
"Life expectancy at birth, male (years)"
"Life expectancy at birth, total (years)"
"Listed domestic companies, total"
"Manufacturing, value added (% of GDP)"
Market capitalization of listed domestic companies (current US$)
Merchandise exports (current US$)
Net acquisition of financial assets (% of GDP)
"Personal remittances, received (% of GDP)"
Population growth (annual %)
"Population, female"
"Population, female (% of total population)"
"Population, male"
"Population, male (% of total population)"
"Population, total"
"Portfolio equity, net inflows (BoP, current US$)"
Rural population
Rural population (% of total population)
Rural population growth (annual %)
Secure Internet servers
Secure Internet servers (per 1 million people)
"Self-employed, female (% of female employment) (modeled ILO estimate)"
"Self-employed, male (% of male employment) (modeled ILO estimate)"
"Services, value added (% of GDP)"
"Services, value added (annual % growth)"
"Services, value added (current US$)"
"Stocks traded, total value (% of GDP)"
"Stocks traded, total value (current US$)"
Tax revenue (% of GDP)
Time required to start a business (days)
"Time to export, border compliance (hours)"
"Time to export, documentary compliance (hours)"
Total natural resources rents (% of GDP)
Trade (% of GDP)
Trade in services (% of GDP)
"Trademark applications, direct nonresident"
"Trademark applications, direct resident"
"Trademark applications, resident, by count"
"Trademark applications, total"
Urban population
Urban population (% of total population)
Urban population growth (annual %)
