indicator_name,indicator_code,country_name,country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Brunei Darussalam,BRN,0.025432477,0.02541939,0.02529897,0.025978856,0.025479627,0.022296758,0.019329328,0.019469538,0.018695856,0.023936614,0.022782617,0.018649727,0.018597214,0.018983146,0.019143681,0.023878997,0.025482869,0.023732773,0.023732773
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Cambodia,KHM,0.065495411,0.071117442,0.072347254,0.069494294,0.079345115,0.0685279,0.061183652,0.049211248,0.066193795,0.075833598,0.069116987,0.075353187,0.072611546,0.071386783,0.067157745,0.061943159,0.061164845,0.059188419,0.059188419
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,China,CHN,0.044734152,0.042235832,0.043482494,0.043832374,0.042568959,0.041422151,0.039187998,0.036586847,0.038772278,0.043218244,0.042799144,0.043255132,0.045493992,0.047122369,0.047732271,0.048887235,0.049818864,0.051511932,0.051511932
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,India,IND,0.043493233,0.042627811,0.042416677,0.048479789,0.039573923,0.037911624,0.036347784,0.035175417,0.035146864,0.034853786,0.032721192,0.032463422,0.033293533,0.037494417,0.036195654,0.035956599,0.035198329,0.035349596,0.035349596
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Indonesia,IDN,0.019931496,0.021741752,0.023347937,0.023133738,0.021721315,0.025849456,0.026722184,0.028761772,0.02613758,0.026849434,0.029689984,0.029554232,0.029286671,0.029665623,0.031171211,0.031182251,0.031195489,0.029895447,0.029895447
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Japan,JPN,0.07159133,0.073591977,0.074733645,0.076112773,0.076571941,0.077866888,0.078784264,0.078946642,0.081995144,0.095829668,0.091567732,0.016167175,0.017965353,0.017915938,0.01832497,0.018855687,0.018255289,0.019359331,0.019359331
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Lao PDR,LAO,0.042751372,0.0429317,0.036975119,0.044792784,0.03545729,0.033367325,0.029329473,0.031534556,0.027672734,0.034633784,0.029115524,0.019445759,0.027637586,0.023998499,0.022984555,0.024536645,0.023687479,0.025288686,0.025288686
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Malaysia,MYS,0.025648444,0.027283166,0.027241822,0.029833188,0.029176455,0.028446225,0.031718425,0.031216423,0.038152465,0.033224572,0.032287247,0.033886563,0.035464492,0.035718527,0.037732878,0.038949426,0.037994184,0.038593981,0.038593981
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Myanmar,MMR,0.018429949,0.018364269,0.029152726,0.024643391,0.021316422,0.021416258,0.01935176,0.01732197,0.019385979,0.024674479,0.018254337,0.017841789,0.02325936,0.034827876,0.041494912,0.051971152,0.047671229,0.04659724,0.04659724
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Philippines,PHL,0.031548176,0.029475853,0.027333119,0.031914387,0.031679225,0.039418436,0.039458487,0.039195423,0.042792431,0.043535333,0.043127626,0.042693773,0.043746524,0.044638112,0.041274115,0.043213688,0.044696739,0.044464779,0.044464779
