,country_code,lifeExpectancyAtBirth_2018values,gdpPerCapita_2018_values,population_2018_values
0,ARB,71.8068251366965,6610.15026219846,419790588.0
1,CSS,73.6371077650151,9991.01614896676,7358965.0
2,CEB,77.0131548101255,15926.0982380038,102530626.0
3,EAR,70.4841829862721,3582.13621212757,3249139605.0
4,EAS,76.0683364250093,11142.5518735934,2328138066.0
5,EAP,75.2105121056207,7822.36754207322,2081651801.0
6,TEA,75.2492291135899,7904.54275618718,2056064424.0
7,EMU,81.9615820722699,39918.8573133059,341858176.0
8,ECS,77.8802471850849,25130.0985330201,917973802.0
9,ECA,73.668025177637,8181.08989142481,416944914.0
10,TEC,74.0452488086791,8840.15898098505,459007507.0
11,EUU,80.9705020352997,35616.086693231,446786293.0
12,FCS,61.4957058546614,2216.27580361102,743958386.0
13,HPC,63.1350064011699,939.616349568883,780234406.0
14,HIC,80.7283265023212,44806.2455304738,1209780930.0
15,IBD,73.40911767185,6389.16173590935,4772259249.0
16,IBT,71.0727113118595,5102.49141502636,6411664536.0
17,IDB,62.2517805254551,1788.79658990965,554990771.0
18,IDX,65.3043979292031,1144.23950380697,1084414516.0
19,IDA,64.2710341083702,1362.05447894741,1639405287.0
20,LTE,76.2268864249583,9703.60049859152,2287825323.0
21,LCN,75.4389908495836,9072.68036208631,641357466.0
22,LAC,75.2443259033788,8576.16960081681,609013934.0
23,TLA,75.3555164240851,8916.73067860781,625569713.0
24,LDC,65.0396241212957,1057.98604201905,1009662578.0
25,LMY,71.0128858239404,4975.11498702911,6383105866.0
26,LIC,63.767850944393,840.860138270249,705417321.0
27,LMC,68.5449083359285,2217.61351761399,3022072335.0
28,MEA,74.0887986585129,8044.3218889333,448912959.0
29,MNA,73.5873582148883,,382896715.0
30,TMN,73.5836428053412,,378327628.0
31,MIC,71.9130693822262,5489.30481808577,5677688545.0
32,NAC,78.886890948508,61197.8557253429,363809239.0
33,INX,,,
34,OED,80.1724771338418,40426.9140529326,1302998740.0
35,OSS,68.5559273441274,14682.0359351668,30760211.0
36,PSS,69.929057966298,4224.52989029586,2457367.0
37,PST,80.6315193967696,45148.8706773344,1109455397.0
38,PRE,60.8209562953764,1440.2719359803,919485393.0
39,SST,69.5479882282502,13197.5488034859,40576543.0
40,SAS,69.4122476461494,1902.8026286069,1814388744.0
41,TSA,69.4122476461494,1902.8026286069,1814388744.0
42,SSF,61.2730146485793,1589.24777521489,1078306520.0
43,SSA,61.2719764589032,1587.91418086887,1078209758.0
44,TSS,61.2730146485793,1589.24777521489,1078306520.0
45,UMC,75.7463153794048,9212.07470189642,2655616210.0
46,WLD,72.5600558271252,11317.2705827305,7592886796.0
47,AFG,64.486,520.896602719135,37172386.0
48,ALB,78.458,5268.84850355919,2866376.0
49,DZA,76.693,4114.71506136896,42228429.0
50,ASM,,11466.6907058505,55465.0
51,AND,,42029.7627372989,77006.0
52,AGO,60.782,3432.38573600893,30809762.0
53,ATG,76.885,16726.9808079479,96286.0
54,ARG,76.52,11683.9496216363,44494502.0
55,ARM,74.945,4212.07094272937,2951776.0
56,ABW,76.152,,105845.0
57,AUS,82.7487804878049,57395.9194663167,24982688.0
58,AUT,81.6439024390244,51499.8853614086,8840521.0
59,AZE,72.864,4722.38167888335,9939800.0
60,BHS,73.752,32217.871590084,385640.0
61,BHR,77.163,24050.7575053956,1569439.0
62,BGD,72.32,1698.26280233547,161356039.0
63,BRB,79.081,17949.2815054371,286641.0
64,BLR,74.1756097560976,6330.0752464187,9483499.0
65,BEL,81.5951219512195,47472.1367302078,11433256.0
66,BLZ,74.496,4884.74242133376,383071.0
67,BEN,61.47,1240.82946441954,11485048.0
68,BMU,81.6517073170732,,63973.0
69,BTN,71.46,3243.23112508014,754394.0
70,BOL,71.239,3548.59013979338,11353142.0
71,BIH,77.262,6065.67270824158,3323929.0
72,BWA,69.275,8258.64166574691,2254126.0
73,BRA,75.672,9001.23424863499,209469333.0
74,VGB,,,29802.0
75,BRN,75.722,31628.3287914349,428962.0
76,BGR,74.8658536585366,9271.54563263874,7025037.0
77,BFA,61.174,715.12290404614,19751535.0
78,BDI,61.247,271.752044376648,11175378.0
79,CPV,72.782,3635.40684982339,543767.0
80,KHM,69.57,1510.3248705764,16249798.0
81,CMR,58.921,1533.74213975885,25216237.0
82,CAN,81.9487804878049,46234.3507461125,37057765.0
83,CYM,,,64174.0
84,CAF,52.805,475.721250544318,4666377.0
85,TCD,53.977,728.343235359289,15477751.0
86,CHI,82.928,,170499.0
87,CHL,80.042,15923.3587375381,18729160.0
88,CHN,76.704,9770.84708783314,1392730000.0
89,COL,77.109,6667.7906995498,49648685.0
90,COM,64.118,1415.26362231562,832322.0
91,COD,60.368,561.777182390425,84068091.0
92,COG,64.29,2147.76946104594,5244363.0
93,CRI,80.095,12027.3658826316,4999441.0
94,CIV,57.422,1715.53133212649,25069229.0
95,HRV,78.0707317073171,14915.3720715736,4087843.0
96,CUB,78.726,8821.81889125004,11338138.0
97,CUW,,19573.8926023729,159800.0
98,CYP,80.828,28689.6985789646,1189265.0
99,CZE,78.9780487804878,23069.383245434,10629928.0
100,DNK,81.3512195121951,61390.6930097009,5793636.0
101,DJI,66.582,3082.54309871957,958920.0
102,DMA,,7691.34509727878,71625.0
103,DOM,73.892,8050.63160184635,10627165.0
104,ECU,76.8,6344.87197850057,17084357.0
105,EGY,71.825,2549.13225178609,98423595.0
106,SLV,73.096,4058.25243928118,6420744.0
107,GNQ,58.402,10144.1958108456,1308974.0
108,ERI,65.941,,
109,EST,78.5439024390244,23247.1098430453,1321977.0
110,SWZ,59.401,4145.97411168691,1136191.0
111,ETH,66.24,772.313530261357,109224559.0
112,FRO,82.5487804878049,,48497.0
113,FJI,67.341,6266.96796528074,883483.0
114,FIN,81.8341463414634,50175.2998156593,5515525.0
115,FRA,82.5268292682927,41469.9195544229,66977107.0
116,PYF,77.462,,277679.0
117,GAB,66.187,7952.52589277651,2119275.0
118,GMB,61.735,716.118488979126,2280102.0
119,GEO,73.6,4722.77719386493,3726549.0
120,DEU,80.9926829268293,47615.7400276733,82905782.0
121,GHA,63.78,2202.31216442504,29767108.0
122,GIB,,,33718.0
123,GRC,81.2878048780488,20316.5683305736,10731726.0
124,GRL,,,56025.0
125,GRD,72.384,10640.496760331,111454.0
126,GUM,79.859,35712.5621350321,165768.0
